S. No.,Chapter,Schedules,Description of Goods,CGST Rate (%),SGST / UTGST Rate (%),IGST Rate (%),Compensation Cess
217,"5407, 5408, 7303",I,Woven fabrics of manmade textile materials,0.025,0.025,0.05,
218,"5512 to, 9018, 7304",I,Woven fabrics of manmade staple fibres,0.025,0.025,0.05,
219,"5702,, 9019, 7305",I,"Coir   mats,   matting,   floor   covering   and   handloom durries",0.025,0.025,0.05,
220,"5809, 5810, 9020, 7306",I,"Embroidery or zari articles, that is to say,- imi, zari, kasab, salma,  dabka,  chumki,   gota,  sitara,  naqsi,  kora,  glass",0.025,0.025,0.05,
221,"60, 7307",I,Knitted or crocheted fabrics [All goods],0.025,0.025,0.05,
222,"61 or 6501, 9022, 7308",I,"Article  of  apparel  and  clothing  accessories  or  cap/topi, knitted or crocheted, of sale value not exceeding Rs 1000",0.025,0.025,0.05,
223,"62, 9404, 7309, 9614",I,"Articles of apparel and clothing accessories, not knitted or crocheted, of sale value not exceeding Rs. 1000 per piece",0.025,0.025,0.05,
224,"63  [other than 6305 32, 9404, 7310",I,"Other  made  up  textile  articles,  sets,  of  sale  value  not exceeding Rs. 1000 per piece",0.025,0.025,0.05,
228,"9503, 7314, Any",II,"Toys like tricycles, scooters, pedal cars etc.",0.06,0.06,0.12,
229,"7018, 9504, 7315, Any Chapter",I,Glass beads.,0.025,0.025,0.05,
231,"8413, 8413, 9507, 7317",I,Hand pumps and parts thereof,0.025,0.025,0.05,
243,"8713, 7405",I,"Carriages  for  disabled  persons,  whether  or not  motorised",0.025,0.025,0.05,
244,"8802 or, 7406",I,"Other   aircraft   (for   example,   helicopters,   aeroplanes)",0.025,0.025,0.05,
245,"8807, 7407",I,Parts of goods of heading 8802 or 8806 (except parts of,0.025,0.025,0.05,
246,"8901, 7408",I,"Cruise  ships,  excursion  boats,  ferry-boats,  cargo  ships, barges and similar  vessels  for the transport of persons or",0.025,0.025,0.05,
247,"8902, 7409",I,Fishing   vessels;   factory   ships   and   other   vessels   for,0.025,0.025,0.05,
248,"8904, 7410",I,Tugs and pusher craft,0.025,0.025,0.05,
249,"8905, 7411",I,"Light-vessels,   fire-floats,  dredgers,  floating  cranes  and other  vessels  the  navigability  of  which  is  subsidiary  to their    main    function;    floating    docks;    floating    or",0.025,0.025,0.05,
250,"8906, 7412",I,"Other vessels, including warships and lifeboats other than",0.025,0.025,0.05,
251,"8907, 7413",I,"Other floating structures (for example, rafts, tanks, coffer-",0.025,0.025,0.05,
252,"Any chapter, 7415",I,"Parts of goods of headings 8901, 8902, 8904, 8905, 8906,",0.025,0.025,0.05,
253,"90, 7419",I,Coronary stents  and  coronary stent  systems  for  use  with,0.025,0.025,0.05,
254,"90 or any other, 7501",I,Artificial kidney,0.025,0.025,0.05,
255,"90 or 84, 7502",I,Disposable sterilized dialyzer or micro barrier of artificial,0.025,0.025,0.05,
256,"90 or any other Chapter, 7503",I,"Parts of the following goods, namely:-",0.025,0.025,0.05,
257,"90 or any other, 7504",I,"Assistive  devices,  rehabilitation aids and  other  goods for disabled, specified in List 3 appended to this Schedule",0.025,0.025,0.05,
258,"9405, 7505",I,Kerosene pressure lantern,0.025,0.025,0.05,
259,"9405 91 00,, 7506",I,Parts of kerosene pressure lanterns including gas mantles,0.025,0.025,0.05,
260,"9603 other, 7507",I,"Broomsticks  [other  than  brooms  consisting  of  twigs  or other vegetable materials bound together, with or without",0.025,0.025,0.05,
261,"9704, 7508",I,"Postage  or  revenue  stamps,  stamp-postmarks,  first-day",0.025,0.025,0.05,
262,"9705, 7601",I,Numismatic coins,0.025,0.025,0.05,
263,"9804, 7602",I,"Drugs  or  medicines  including  their  salts  and  esters  and diagnostic   test   kits   specified   at   S.No.180   above   and Formulations  specified  at  S.No.181  above,  intended  for",0.025,0.025,0.05,
265,7604,III,"Aluminium bars, rods and profiles",0.09,0.09,0.18,
266,7605,III,Aluminium wire,0.09,0.09,0.18,
267,7606,III,"Aluminium  plates,  sheets  and  strip,  of  a",0.09,0.09,0.18,
268,7607,III,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar  backing  materials)  of  a  thickness (excluding any backing) not exceeding 0.2",0.09,0.09,0.18,
269,7608,III,Aluminium tubes and pipes,0.09,0.09,0.18,
270,7609,III,Aluminium   tube   or   pipe   fittings   (for,0.09,0.09,0.18,
271,7610,III,"Aluminium         structures         (excluding prefabricated  buildings  of  heading  9406) and   parts   of   structures   (for   example, bridges and bridge-sections, towers, lattice masts,      roofs,      roofing      frameworks, balustrades,      pillars      and      columns); aluminium plates, rods, profiles, tubes and",0.09,0.09,0.18,
272,7611,III,"Aluminium   reservoirs,   tanks,   vats   and similar  containers,  for  any  material (other than  compressed  or  liquefied  gas),  of  a capacity  exceeding  300  l,  whether  or  not",0.09,0.09,0.18,
273,7612,III,"Aluminium casks, drums, cans, boxes, etc.",0.09,0.09,0.18,
274,7613,III,Aluminium  containers  for  compressed  or,0.09,0.09,0.18,
275,7614,III,"Stranded wires, cables, plaited bands and",0.09,0.09,0.18,
276,7616,III,Other articles of aluminium,0.09,0.09,0.18,
277,7801,III,Unwrought lead,0.09,0.09,0.18,
278,7802,III,Lead waste and scrap,0.09,0.09,0.18,
279,7804,III,"Lead  plates,  sheets,  strip  and  foil;  lead",0.09,0.09,0.18,
280,7806,III,Other  articles  of  lead  (including  sanitary,0.09,0.09,0.18,
281,7901,III,Unwrought zinc,0.09,0.09,0.18,
282,7902,III,Zinc waste and scrap,0.09,0.09,0.18,
283,7903,III,"Zinc dust, powders and flakes",0.09,0.09,0.18,
284,7904,III,"Zinc bars, rods, profiles and wire",0.09,0.09,0.18,
285,7905,III,"Zinc plates, sheets, strip and foil",0.09,0.09,0.18,
286,7907,III,Other  articles  of  zinc  including  sanitary,0.09,0.09,0.18,
287,8001,III,Unwrought tin,0.09,0.09,0.18,
288,8002,III,Tin waste and scrap,0.09,0.09,0.18,
289,8003,III,"Tin bars, rods, profiles and wire",0.09,0.09,0.18,
290,8007,III,Other articles of tin,0.09,0.09,0.18,
291,8101 to 8112,III,"Other   base   metals,   namely,   Tungsten, Molybdenum,     Tantalum,     Magnesium, Cobalt   mattes,     and   other   intermediate products  of  cobalt   metallurgy,  Bismuth, Cadmium,          Titanium,          Zirconium, Antimony,        Manganese,        Beryllium, chromium,        germanium,        vanadium, gallium,     hafnium,     indium,     niobium (columbium),  rhenium  and  thallium,  and",0.09,0.09,0.18,
292,8113,III,"Cermets   and   articles   thereof,   including waste and scrap",0.09,0.09,0.18,
293,8202,III,"Hand  saws;  blades  for  saws  of  all  kinds (including   slitting,   slotting   or   toothless",0.09,0.09,0.18,
294,8203,III,"Files,    rasps,    pliers    (including    cutting",0.09,0.09,0.18,
295,8204,III,Hand-operated    spanners    and    wrenches (including  torque  meter  wrenches  but  not including  tap  wrenches);  interchangeable,0.09,0.09,0.18,
296,8205,III,"Hand tools (including glaziers' diamonds), not  elsewhere  specified  or  included;  blow lamps;  vices,  clamps  and  the  like,  other than accessories for and parts of, machine- tools or water-jet cutting machines; anvils; portable   forges;   hand   or   pedal-operated",0.09,0.09,0.18,
297,8206,III,Tools of two or more of the headings 8202,0.09,0.09,0.18,
298,8207,III,"Interchangeable    tools    for    hand    tools, whether   or   not   power-operated,   or   for machine-tools  (for  example,  for  pressing, stamping,   punching,   tapping,   threading, drilling,     boring,     broaching,     milling, turning  or  screw  driving),  including  dies for  drawing  or  extruding  metal,  and  rock",0.09,0.09,0.18,
299,8208,III,"Knives and cutting blades, for machines or",0.09,0.09,0.18,
300,8209,III,"Plates,  sticks,  tips  and  the  like  for  tools, unmounted, of cermets",0.09,0.09,0.18,
301,8210 00 00,III,"Hand-operated     mechanical     appliances, weighing   10   kg   or   less,   used   in   the preparation,   conditioning   or   serving   of",0.09,0.09,0.18,
302,8213 00 00,III,"Scissors, tailors' shears and similar shears,",0.09,0.09,0.18,
303,8301,III,"Padlocks  and  locks  (key,  combination  or",0.09,0.09,0.18,
305,8307,III,"Flexible   tubing   of  base   metal,   with  or",0.09,0.09,0.18,
306,8308,III,"Clasps,    frames    with    clasps,    buckles, buckle-clasps, hooks, eyes, eyelets and the like,  of  base  metal,  of  a  kind  used  for clothing or clothing accessories, footwear, jewellery,  wrist  watches,  books,  awnings, leather  goods, travel goods or saddlery or for   other   made   up   articles;   tubular   or",0.09,0.09,0.18,
307,8309,III,"Stoppers,  caps  and  lids  (including  crown corks,  screw  caps  and  pouring  stoppers),",0.09,0.09,0.18,
308,8311,III,"Wire,  rods,  tubes,  plates,  electrodes  and similar products, of base metal or of metal carbides,    coated    or    cored    with    flux material,   of  a   kind   used   for   soldering, brazing, welding or deposition of metal or of   metal   carbides;   wire   and   rods,   of agglomerated base metal powder, used for",0.09,0.09,0.18,
309,8401,III,Nuclear reactors; machinery and apparatus,0.09,0.09,0.18,
310,8402,III,Steam  or  other  vapour  generating  boilers (other   than   central   heating   hot   water boilers   capable   also   of   producing   low pressure     steam);     super-heated     water,0.09,0.09,0.18,
311,8403,III,Central heating boilers other than those of,0.09,0.09,0.18,
312,8404,III,"Auxiliary  plant   for   use  with  boilers  of heading   8402   or   8403   (for   example, economisers, super-heaters, soot removers,",0.09,0.09,0.18,
313,8405,III,"Producer gas or water gas generators, with or  without  their  purifiers;  acetylene  gas generators  and  similar  water  process  gas",0.09,0.09,0.18,
314,8406,III,Steam turbines and other vapour turbines,0.09,0.09,0.18,
315,8410,III,"Hydraulic   turbines,   water   wheels,   and",0.09,0.09,0.18,
316,8411,III,"Turbo-jets, turbo-propellers and other gas",0.09,0.09,0.18,
317,8412,III,"Other    engines    and    motors    (Reaction engines  other  than  turbo  jets,  Hydraulic power   engines   and   motors,   Pneumatic",0.09,0.09,0.18,
318,8416,III,"Furnace    burners    for    liquid    fuel,    for pulverised     solid     fuel     or     for     gas; mechanical     stokers,     including     their",0.09,0.09,0.18,
319,8417,III,Industrial    or    laboratory    furnaces    and,0.09,0.09,0.18,
320,8419 other than,III,"Machinery, plant or laboratory equipment, whether     or     not     electrically     heated (excluding    furnaces,    ovens    and    other equipment   of   heading   8514),   for   the treatment    of    materials    by    a    process involving a change of temperature such as heating,     cooking,     roasting,     distilling,",0.09,0.09,0.18,
321,8420,III,"Calendering  or  other  rolling  machines, other   than    for    metals   or    glass,    and cylinders    therefor    [other    than    Hand",0.09,0.09,0.18,
322,8421,III,"Centrifuges,  including  centrifugal  dryers; filtering    or    purifying    machinery    and",0.09,0.09,0.18,
323,"8422 20 00, 8422 30 00, 8422 40 00, 842290  other than 8422 11 00,8422 19 00",III,"Machinery  for  cleaning  or  drying  bottles or other  containers;  machinery  for  filling, closing,  sealing  or  labelling  bottles,  cans, boxes, bags or other containers; machinery for   capsuling   bottles,   jars,   tubes   and similar    containers;    other    packing    or wrapping    machinery    (including    heat- shrink   wrapping   machinery);   machinery for   aerating   beverages   [other   than  dish washing machines]",0.09,0.09,0.18,
324,8423,III,"Weighing machinery (excluding balances of a sensitivity of 5 centigrams or  better), including   weight   operated   counting   or",0.09,0.09,0.18,
325,8424,III,"Mechanical  appliances  (whether  or  not hand-operated)  for  projecting,  dispersing or    spraying    liquids    or    powders;    fire extinguishers,   whether   or   not   charged; spray  guns  and  similar  appliances;  steam or  sand  blasting  machines  and  similar  jet projecting machines [other than sprinklers; drip  irrigation  systems  including  laterals; mechanical    sprayer;    nozzles    for    drip irrigation    equipment    or    nozzles    for",0.09,0.09,0.18,
326,8425,III,Pulley  tackle  and  hoists  other  than  skip,0.09,0.09,0.18,
327,8426,III,"Ship’s   derricks;   cranes   including   cable cranes;   mobile   lifting   frames,   straddle carriers  and  works  trucks  fitted  with  a",0.09,0.09,0.18,
328,8431,III,Parts suitable  for use  solely or  principally,0.09,0.09,0.18,
329,8435,III,"Presses,  crushers  and  similar   machinery",0.09,0.09,0.18,
330,8438,III,"Machinery,   not   specified   or   included elsewhere in this Chapter, for the industrial preparation   or   manufacture   of   food   or drink,    other    than    machinery    for    the extraction   or   preparation   of   animal   or",0.09,0.09,0.18,
331,8439,III,Machinery   for   making   pulp   of   fibrous cellulosic    material   or    for    making    or,0.09,0.09,0.18,
332,8440,III,"Book-binding  machinery,  including  book-",0.09,0.09,0.18,
333,8441,III,Other   machinery   for   making   up   paper,0.09,0.09,0.18,
334,8442,III,"Machinery,    apparatus    and    equipment (other than the machines of headings 8456 to  8465)  for  preparing  or  making  plates,",0.09,0.09,0.18,
335,8443,III,"Printing  machinery  used  for  printing  by means   of   plates,   cylinders   and   other printing   components   of   heading   8442; other    printers,    copying    machines   and facsimile    machines,    whether    or    not",0.09,0.09,0.18,
336,8444,III,"Machines for extruding, drawing, texturing",0.09,0.09,0.18,
337,8445,III,"Machines   for   preparing   textile    fibres; spinning,  doubling  or  twisting  machines and  other  machinery for  producing  textile yarns; textile reeling or winding (including weft-winding)  machines and  machines for preparing   textile   yarns   for   use   on   the",0.09,0.09,0.18,
338,8446,III,Weaving machines (looms),0.09,0.09,0.18,
339,8447,III,"Knitting        machines,        stitch-bonding machines    and    machines    for    making gimped    yarn,    tulle,    lace,    embroidery, trimmings,  braid  or  net  and  machines  for",0.09,0.09,0.18,
340,8448,III,"Auxiliary     machinery     for     use     with machines  of  heading  84.44,  84.45,  84.46 or 84.47 (for example, dobbies, Jacquards, automatic  stop  motions,  shuttle  changing mechanisms);     parts     and     accessories suitable  for  use  solely  or  principally  with the machines of this heading or of heading 8444,  8445,8446  or  8447  (for  example, spindles and spindles flyers, card clothing, combs,  extruding  nipples,  shuttles,  healds",0.09,0.09,0.18,
341,8449,III,"Machinery     for     the     manufacture     or finishing of felt or nonwovens in the piece or   in   shapes,   including   machinery   for",0.09,0.09,0.18,
342,8451,III,"Machinery    (other    than    machines    of heading   8450)    for   washing,   cleaning, wringing,      drying,      ironing,      pressing (including    fusing    presses),    bleaching, dyeing,   dressing,   finishing,   coating   or impregnating textile yarns, fabrics or made up    textile    articles    and    machines    for applying  the  paste  to  the  base  fabric  or other  support  used  in  the  manufacture  of floor covering such as linoleum; machines",0.09,0.09,0.18,
343,8453,III,"Machinery    for    preparing,    tanning    or working   hides,   skins   or   leather   or   for making   or   repairing   footwear   or   other articles  of  hides,  skins  or  leather,  other",0.09,0.09,0.18,
344,8454,III,"Converters,    ladles,    ingot    moulds    and",0.09,0.09,0.18,
345,8455,III,Metal-rolling mills and rolls therefor,0.09,0.09,0.18,
346,8456,III,"Machine-tools for working any material by removal of material, by laser or other light or    photon    beam,    ultrasonic,    electro-",0.09,0.09,0.18,
347,8457,III,"Machining     centres,     unit     construction machines (single station) and multi-station",0.09,0.09,0.18,
348,8458,III,Lathes   (including   turning   centres)   for removing metal,0.09,0.09,0.18,
349,8459,III,"Machine-tools   (including   way-type   unit head    machines)    for    drilling,    boring, milling, threading or tapping by removing metal, other than lathes (including turning",0.09,0.09,0.18,
350,8460,III,"Machine-tools  for  deburring,  sharpening, grinding,   honing,   lapping,   polishing   or otherwise  finishing  metal,  or  cermets  by means   of   grinding   stones,   abrasives   or polishing products, other than gear cutting,",0.09,0.09,0.18,
351,8461,III,"Machine-tools     for     planing,     shaping, slotting,   broaching,   gear   cutting,   gear",0.09,0.09,0.18,
352,8462,III,"Machine-Tools  (Including  Presses)  For Working Metal by Forging, Hammering or Die   Forging   (Excluding   Rolling   Mills); Machine-Tools (Including Presses, Slitting Lines    and    Cut-To-Length    Lines)    For Working   Metal   by   Bending,    Folding, Straightening,       Flattening,       Shearing, Punching,       Notching       or       Nibbling (Excluding   Draw-Benches);   Presses   for Working  Metal  or  Metal  Carbides,  Not",0.09,0.09,0.18,
353,8463,III,"Other machine-tools for working metal, or",0.09,0.09,0.18,
354,8464,III,"Machine-tools      for      working      stone, ceramics,   concrete,   asbestos-cement   or like  mineral materials or for cold working",0.09,0.09,0.18,
355,8465,III,"Machine-tools   (including   machines   for nailing,   stapling,   glueing   or   otherwise assembling) for working wood, cork, bone,",0.09,0.09,0.18,
356,8466,III,"Parts   and   accessories   suitable   for   use solely or principally with the  machines of headings  8456  to  8465  including  work or tool   holders,         self-opening   dieheads, dividing      heads     and     other     special attachments for the machines; tool holders for  any  type  of  tool,  for  working  in  the",0.09,0.09,0.18,
357,8467,III,"Tools for working in the hand, pneumatic,",0.09,0.09,0.18,
358,8468,III,"Machinery  and   apparatus   for   soldering, brazing or welding, whether or not capable of  cutting,  other  than  those  of  heading 8512.5;   gas-operated   surface   tempering",0.09,0.09,0.18,
359,8470,III,Calculating machines and pocket-size data,0.09,0.09,0.18,
360,8471,III,"Automatic  data  processing  machines  and units  thereof;  magnetic  or optical readers, machines  for  transcribing  data  onto  data media  in  coded  form  and  machines  for processing    such    data,    not    elsewhere",0.09,0.09,0.18,
361,8472,III,"Other   office   machines   (for   example, hectograph      or       stencil      duplicating machines, addressing  machines, automatic banknote      dispensers,      coin      sorting machines,    coin   counting    or   wrapping machines,   pencil   sharpening   machines, perforating  or  stapling  machines)  [other than  Braille  typewriters,  electric  or  non-",0.09,0.09,0.18,
362,8473,III,"Parts  and  accessories  (other  than  covers, carrying cases and the like) suitable for use solely   or   principally   with   machines   of",0.09,0.09,0.18,
363,8474,III,"Machinery      for      sorting,      screening, separating,   washing,   crushing,   grinding, mixing  or  kneading  earth,  stone,  ores  or other     mineral     substances,     in     solid (including     powder     or     paste)     form; machinery  for  agglomerating,  shaping  or moulding   solid   mineral   fuels,   ceramic paste,    unhardened    cements,    plastering materials   or   other   mineral   products   in",0.09,0.09,0.18,
364,8475,III,"Machines    for    assembling    electric    or electronic    lamps,    tubes    or    valves    or flashbulbs,  in  glass  envelopes;  machines for manufacturing or hot working glass or",0.09,0.09,0.18,
365,8477,III,"Machinery  for  working  rubber  or  plastics or  for  the  manufacture  of  products  from these  materials,  not  specified  or  included",0.09,0.09,0.18,
366,8479,III,"Machines   and    mechanical   appliances having  individual  functions,  not  specified or   included   elsewhere   in   this   Chapter",0.09,0.09,0.18,
367,8480,III,"Moulding boxes for metal foundry; mould bases; moulding patterns; moulds for metal (other than  ingot  moulds),  metal carbides,",0.09,0.09,0.18,
368,8481,III,"Taps, cocks, valves and similar appliances for  pipes,  boiler  shells,  tanks,  vats  or  the like,   including   pressure-reducing   valves",0.09,0.09,0.18,
369,8482,III,"Ball bearing, Roller Bearings",0.09,0.09,0.18,
370,8486,III,"Machines  and  apparatus  of  a  kind  used solely or principally for the manufacture of semiconductor       boules       or       wafers, semiconductor         devices,         electronic integrated  circuits  or  flat  panel  displays;",0.09,0.09,0.18,
371,8487,III,"Machinery  parts,  not  containing  electrical connectors,  insulators,  coils,  contacts  or other  electrical  features  not  specified  or",0.09,0.09,0.18,
372,8501,III,Electric  motors  and  generators  (excluding,0.09,0.09,0.18,
373,8502,III,Electric     generating     sets     and     rotary,0.09,0.09,0.18,
374,8503,III,Parts suitable  for use  solely or principally with  the   machines  of  heading  8501  or,0.09,0.09,0.18,
375,8504,III,"Electrical  transformers,  static  converters (for  example,  rectifiers)  and  inductors]426 [other than charger or charging station for",0.09,0.09,0.18,
376,8505,III,"Electro-magnets;  permanent  magnets  and articles   intended   to   become   permanent magnets    after    magnetisation;    electro- magnetic   or   permanent   magnet   chucks, clamps    and    similar    holding    devices; electro-magnetic  couplings,  clutches  and",0.09,0.09,0.18,
377,8514,III,Industrial  or  laboratory  electric  furnaces and ovens (including those functioning by induction     or     dielectric     loss);     other industrial  or  laboratory  equipment  for  the,0.09,0.09,0.18,
378,8515,III,"Electric (including electrically heated gas), laser    or   other    light    or   photo    beam, ultrasonic,  electron  beam,  magnetic  pulse or    plasma    arc    soldering,    brazing    or welding  machines  and  apparatus,  whether or not capable of cutting; electric machines",0.09,0.09,0.18,
379,8517,III,All goods,0.09,0.09,0.18,
380,8518,III,"Microphones     and     stands     therefor; loudspeakers,  whether  or  not  mounted  in their       enclosures;      headphones      and",0.09,0.09,0.18,
381,8521,III,"Video recording or reproducing apparatus,",0.09,0.09,0.18,
382,8523,III,"Discs,     tapes,     solid-state     non-volatile storage  devices,  ""smart  cards""  and  other media  for  the  recording  of  sound  or  of other phenomena, whether or not recorded, including   matrices   and   masters   for   the production     of     discs,     but     excluding",0.09,0.09,0.18,
383,8525 or 8806,III,"Closed-circuit        television        (CCTV), transmission      apparatus       for       radio- broadcasting  or television,  whether  or  not incorporating reception apparatus or sound recording     or     reproducing     apparatus; television   cameras,   digital   cameras   and video camera recorders including goods in the   form   of   unmanned   aircraft   falling under   8806   [other   than   two-way   radio",0.09,0.09,0.18,
384,8528,III,Computer monitors not exceeding  32,0.09,0.09,0.18,
385,8532,III,"Electrical   capacitors,   fixed,   variable   or adjustable (pre-set)",0.09,0.09,0.18,
386,8533,III,"Electrical resistors (including rheostats and potentiometers),     other     than     heating",0.09,0.09,0.18,
387,8534 00 00,III,Printed Circuits,0.09,0.09,0.18,
388,8535,III,"Electrical    apparatus    for    switching    or protecting electrical circuits, or for making connections to or in electrical circuits (for example,     switches,      fuses,      lightning arresters,       voltage       limiters,       surge suppressors,  plugs  and  other  connectors, junction  boxes),  for  a  voltage  exceeding",0.09,0.09,0.18,
389,8538,III,"Parts suitable  for use  solely or principally with the  apparatus of heading  8535,  8536",0.09,0.09,0.18,
390,8539,III,Electrical  Filament  or  discharge  lamps including   sealed   beam   lamp   units   and ultra-violet  or  infrared  lamps;  arc  lamps,0.09,0.09,0.18,
391,8540,III,"Thermionic, cold cathode or photo-cathode valves and tubes (for example, vacuum or vapour   or   gas   filled   valves   and   tubes, mercury  arc  rectifying  valves  and  tubes,",0.09,0.09,0.18,
392,8541,III,"Semiconductor   Devices   (for   example, Diodes, Transistors, Semiconductor Based Transducers);                        Photosensitive Semiconductor    devices;    Light-Emitting Diodes  (LED),  whether  or  not  assembled",0.09,0.09,0.18,
393,8542,III,Electronic integrated circuits,0.09,0.09,0.18,
394,8543,III,"Electrical machines and  apparatus,  having individual    functions,    not    specified    or",0.09,0.09,0.18,
395,8544,III,"Insulated   (including   enamelled   or anodised)  wire,  cable  (including  co-axial cable)     and     other     insulated     electric conductors,   whether   or   not   fitted   with connectors;  optical  fibre  cables,  made  up of individually sheathed fibres, whether or",0.09,0.09,0.18,
396,8545,III,"Carbon electrodes, carbon brushes, Lamp",0.09,0.09,0.18,
397,8546,III,Electrical insulators of any material,0.09,0.09,0.18,
398,8548 or 8549,III,"Waste and scrap of primary cells, primary batteries  and  electric  accumulators;  spent primary cells,  spent  primary  batteries  and spent electric accumulators; electrical parts of machinery or apparatus, not specified or",0.09,0.09,0.18,
399,8609,III,Containers  (including  containers  for  the transport of fluids) specially designed and equipped   for   carriage   by   one   or   more,0.09,0.09,0.18,
400,8703,III,"Following  motor  vehicles  of  length  not exceeding 4000 mm, namely: -",0.09,0.09,0.18,
401,8704,III,Refrigerated motor vehicles,0.09,0.09,0.18,
402,8708,III,Following parts of tractors namely:,0.09,0.09,0.18,
403,8715,III,Baby carriages and parts thereof,0.09,0.09,0.18,
404,8801,III,"Balloons  and  dirigibles,  gliders  and  other",0.09,0.09,0.18,
405,8804,III,Parachutes  (including  dirigible  parachutes and   paragliders)   and   rotochutes;   parts thereof  and  accessories  thereto  and  parts,0.09,0.09,0.18,
406,8805,III,"Aircraft  launching  gear,  deck  arrestor  or similar  gear;  ground  flying  trainers  and",0.09,0.09,0.18,
407,8908 00 00,III,Vessels  and  other  floating  structures  for,0.09,0.09,0.18,
408,9001,III,"Optical  fibres  and  optical  fibre  bundles; optical  fibre  cables  other  than  those  of heading    8544;    sheets    and    plates    of polarising   material;  prisms,   mirrors  and other  optical  elements,  of  any  material,",0.09,0.09,0.18,
409,9002,III,"Lenses,  prisms,  mirrors  and  other  optical elements, of any material,  mounted, being parts   of   or   fittings   for   instruments   or apparatus,   other   than   such   elements   of glass   not   optically   worked   [other   than",0.09,0.09,0.18,
411,9004,III,Spectacles  [other  than  corrective];,0.09,0.09,0.18,
412,9016,III,"Balances of a sensitivity of 5 cg or better,",0.09,0.09,0.18,
413,9017,III,"Drawing, marking-out or mathematical calculating instruments (for example, drafting machines, pantographs, protractors, drawing sets, slide rules, disc calculators); instruments for measuring length, for use in the hand (for example, measuring rods and tapes, micrometers, callipers), not specified or included elsewhere in this chapter",0.09,0.09,0.18,
414,9024,III,"Machines  and  appliances  for  testing  the hardness,       strength,       compressibility, elasticity or other mechanical properties of",0.09,0.09,0.18,
415,9025,III,"Hydrometers      and      similar       floating instruments,    thermometers,    pyrometers, barometers,            hygrometers            and psychrometers,  recording  or  not,  and  any",0.09,0.09,0.18,
416,9026,III,"Instruments  and  apparatus  for  measuring or  checking  the  flow,  level,  pressure  or other   variables  of  liquids  or  gases  (for",0.09,0.09,0.18,
417,9027,III,"Instruments  and  apparatus  for  physical  or chemical       analysis       (for       example, polarimeters,                        refractometers, spectrometers,    gas   or    smoke    analysis apparatus);  instruments  and  apparatus  for measuring or checking viscosity, porosity, expansion,   surface   tension   or   the   like; instruments and appratus for measuring or checking quantities of heat, sound or light",0.09,0.09,0.18,
418,9028,III,"Gas,    liquid    or    electricity    supply    or production   meters,   including   calibrating",0.09,0.09,0.18,
419,9029,III,"Revolution  counters,  production  counters, taximeters,  mileometers,  pedometers  and the like; speed indicators and tachometers,",0.09,0.09,0.18,
420,9030,III,"Oscilloscopes,    spectrum   analysers    and other    instruments    and    apparatus    for measuring       or       checking       electrical quantities,   excluding   meters   of   heading 90.28;    instruments    and    apparatus    for measuring    or    detecting    alpha,    beta, gamma,  X‑ray,  cosmic  or  other  ionising",0.09,0.09,0.18,
421,9031,III,"Measuring     or     checking     instruments, appliances  and  machines,  not  specified  or",0.09,0.09,0.18,
422,9032,III,Automatic     regulating     or     controlling,0.09,0.09,0.18,
423,9033,III,"Parts   and   accessories   (not   specified   or included  elsewhere  in  this  Chapter)  for machines,     appliances,     instruments    or",0.09,0.09,0.18,
424,9103,III,"Clocks  with  watch  movements,  excluding",0.09,0.09,0.18,
425,9105,III,Other clocks,0.09,0.09,0.18,
426,9109,III,"Clock       movements,       complete       and",0.09,0.09,0.18,
427,9114,III,Other clock or watch parts,0.09,0.09,0.18,
428,9110,III,"Complete   watch   or   clock   movements, unassembled      or       partly      assembled (movement   sets);   incomplete   watch   or clock movements, assembled; rough watch",0.09,0.09,0.18,
429,9112,III,"Clock  cases  and  cases  of  a  similar  type for  other  goods  of this  chapter,  and  parts",0.09,0.09,0.18,
430,9301,III,"Military   weapons   other   than   revolvers, pistols",0.09,0.09,0.18,
431,9303,III,"Other  firearms  and  similar  devices  which operate   by   the   firing   of   an   explosive charge   (for   example,   sporting   shotguns and  rifles,  muzzle-loading  firearms,  very pistols   and   other   devices   designed   to project   only   signal   flares,   pistols   and revolvers   for   firing   blank   ammunition, captive-bolt  humane  killers,  line-throwing",0.09,0.09,0.18,
432,9304,III,"Other arms (for example, spring, air or gas",0.09,0.09,0.18,
433,9305,III,Parts    and    accessories    of    articles    of,0.09,0.09,0.18,
434,9306,III,"Bombs,     grenades,     torpedoes,     mines, missiles, and similar munitions of war and parts     thereof;     cartridges     and     other ammunition   and    projectiles   and    parts",0.09,0.09,0.18,
435,9307,III,"Swords,  cut  lasses,  bayonets,  lances  and",0.09,0.09,0.18,
436,9402,III,"Medical,   surgical,   dental   or   veterinary furniture  (for  example,  operating  tables, examination   tables,   hospital   beds   with mechanical     fittings,     dentists'     chairs); barbers'  chairs  and  similar  chairs,  having rotating   as   well   as   both   reclining   and",0.09,0.09,0.18,
437,9403,III,"Other   furniture   [other   than   furniture wholly  made  of  bamboo,  cane  or  rattan]",0.09,0.09,0.18,
